"Nr.","Typ","Phase","Baustatus","Bohrung","Passstück","Montage-Status","Abgelehnt","Module","Höhe (Soll)","Betriebs-ID","SP Status","Stapel","Pos","Stack bestellt","Stack geliefert","Vormontiert am","Primärkonstruktion montiert","Modulträger montiert","Kranstandorte nach Jahr","Bestellfristen","Birkhuhn","Planungszonen ILF","Bauphasen_STRABAG_260410"
"10","B_KF2025","26n-B08T07-C2","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2023.87","C2-13-1","2","","","—","—","—","—","—","26_5.4 · 26_5.5 · 27_BP_C_5 · 27_BP_C_4","26_5.4 || ","Schongebiet (#1)","PZ2 (#3)","26_5.4"
"1001","B_2025","1","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1988.09","","2","10","4","25.8.2025","23.9.2025","—","19.9.2025","23.9.2025","26_BP_B_1 · 26_BP_B_2","","","PZ25 (#11)",""
"1002","B_2025","1","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1988.45","","2","9","2","12.8.2025","8.10.2025","—","6.10.2025","8.10.2025","26_BP_B_1 · 26_BP_B_2","","","PZ25 (#11)",""
"1003","E_2025","","Passstück geliefert","Injiziert","Geliefert","Nicht begonnen","","10","1990.50","B5-10-6","2","30","1","24.4.2026","29.4.2026","—","—","—","26_BP_B_1","26_BP_B_1 || 2026-04-27","","PZ25 (#11)","26_BP_B_1"
"1004","E_2025","gebohrt","Passstück geliefert","Injiziert","Geliefert","Nicht begonnen","","10","1990.08","B5-10-5","2","30","4","24.4.2026","29.4.2026","—","—","—","26_BP_B_1","26_BP_B_1 || 2026-04-27","","PZ25 (#11)","26_BP_B_1"
"1005","E_2025","","Passstück geliefert","Injiziert","Geliefert","Nicht begonnen","","10","1990.03","B5-10-4","2","30","7","24.4.2026","29.4.2026","—","—","—","26_BP_B_1","26_BP_B_1 || 2026-04-27","","PZ25 (#11)","26_BP_B_1"
"1006","D_2025","2025","Passstück bestellt","Abgesteckt","Bei Mauchle bestellt","Nicht begonnen","","10","1989.90","B5-10-3","2","35","1","30.4.2026","18.5.2026","—","—","—","26_BP_B_1 · 26_BP_B_2","26_BP_B_2 || 2026-05-13","","PZ25 (#11)","26_BP_B_2"
"1007","D_2025","2025","Passstück bestellt","Abgesteckt","Bei Mauchle bestellt","Nicht begonnen","","10","1990.00","B5-10-2","2","35","4","30.4.2026","18.5.2026","—","—","—","26_BP_B_1 · 26_BP_B_2","26_BP_B_2 || 2026-05-13","","PZ25 (#11)","26_BP_B_2"
"1008","D_2025","2025","Passstück bestellt","Abgesteckt","Bei Mauchle bestellt","Nicht begonnen","","10","1990.01","B5-10-1","2","35","7","30.4.2026","18.5.2026","—","—","—","26_BP_B_1 · 26_BP_B_2","26_BP_B_2 || 2026-05-13","","PZ25 (#11)","26_BP_B_2"
"1009","E_2025","1","Primärkonstruktion montiert","Injiziert","Montiert","Primärkonstruktion montiert","","10","1994.94","","2","30","3","24.4.2026","29.4.2026","—","7.10.2025","—","26_BP_B_1","26_BP_B_1 || 2026-04-27","","PZ25 (#11)","26_BP_B_1"
